vehicle_id,week_start_date,ft_torque_util_60pct_s,ft_torque_util_70pct_s,ft_torque_util_80pct_s,ft_torque_util_90pct_s,ft_horsepower_util_50pct_s,ft_horsepower_util_60pct_s,ft_horsepower_util_70pct_s,ft_horsepower_util_80pct_s,ft_rpm_util_50pct_s,ft_rpm_util_60pct_s
1000500,12/26/2016,227,6570,8909,9,52396,8498,2445,1,10943,3775
1000500,1/2/2017,37,120151,87630,198,3477,132322,19999,3,204717,41507
1000500,1/9/2017,41,7190,1769,116,16221,20584,414,20,24475,873
1000500,1/16/2017,1,46430,23670,37,865,91176,15483,0,122880,14910
1000500,1/23/2017,53,9261,2560,136,94,44432,3489,0,48786,9511
1000500,1/30/2017,4,5296,3118,4,6022,26062,709,0,26865,3698
1000500,2/6/2017,218,5214,221,276,1323,73159,9943,0,89124,0
1000500,2/13/2017,40,48116,44604,252,11,32992,1061,0,35376,0
1000500,2/20/2017,16,2538,27466,38,1357,15063,4182,0,19256,0
1000500,2/27/2017,33,11131,2574,195,39747,37586,163,0,38137,0
1000501,12/26/2016,9,2395,8544,352,1482,105688,11942,0,94374,0
1000501,1/2/2017,18,99404,104819,21,3440,33276,5016,0,27080,0
1000501,1/9/2017,13,15594,8841,86,13670,44527,4468,0,33199,0
1000501,1/16/2017,4,46857,75755,132,4979,51089,16,0,30687,0
1000501,1/23/2017,243,19549,29166,46,17726,1181,7367,0,7513,0
1000501,1/30/2017,43,9160,17501,1,8419,24717,5538,0,22014,0
1000501,2/13/2017,74,26378,62376,132,2309,11683,12697,0,23208,0
1000501,2/20/2017,14,15961,19402,6,4830,9543,14,0,8295,0
1000501,2/27/2017,32,1239,17996,128,653,34449,138,0,40599,0
1000502,12/26/2016,2,28162,10940,6,303,185501,10774,0,207316,0
1000502,1/2/2017,109,86161,70887,316,888,4933,3431,0,9243,0
1000502,1/9/2017,90,11395,28247,38,1456,40450,91,0,34472,0
1000502,1/16/2017,46,23200,29146,128,6,29417,16,0,41318,0
1000502,1/23/2017,28,43609,21091,16,9787,4278,7590,0,11981,0
1000502,1/30/2017,129,5328,8068,158,52546,58901,9,0,71009,0
1000502,2/13/2017,93,26391,21570,8,5183,17699,953,0,16505,0
1000502,2/20/2017,41,17704,14935,1,5501,143,26291,0,143,0
1000502,2/27/2017,2,10469,1395,325,11810,9979,268,0,9615,0
1000503,12/26/2016,24,4510,5392,19,7687,89208,14644,0,86087,0
1000503,1/2/2017,9,79856,124858,90,14029,15658,2942,0,75,0
1000503,1/9/2017,150,17182,26470,262,2495,32270,76,0,29710,0
1000503,1/16/2017,1,47552,32794,105,5601,36631,7201,0,26442,0
1000503,1/23/2017,144,25650,13800,45,12376,13469,4969,0,6773,0
1000503,1/30/2017,154,7708,6563,36,613,87,803,0,7288,0
1000503,2/6/2017,29,36,1442,160,2496,29529,0,0,11812,0
1000503,2/13/2017,92,22656,56652,23,3232,7160,0,0,8641,0
1000503,2/20/2017,74,467,2905,31,7853,1679,0,0,0,0
1000503,2/27/2017,173,5131,3625,47,591,396,0,0,0,0
1000504,12/26/2016,1,22722,21651,166,680,272,0,0,0,0
1000504,1/2/2017,45,108217,140188,15,12873,2494,0,0,0,0
1000504,1/9/2017,44,7383,2673,108,139695,1405,0,0,0,0
1000504,1/16/2017,118,16786,32504,1,23170,0,0,0,0,0
1000504,1/23/2017,1,13859,27173,126,77499,0,0,0,0,0
1000504,1/30/2017,38,7720,4252,10,41472,0,0,0,0,0
1000504,2/13/2017,161,42311,37954,2,738,0,0,0,0,0
1000504,2/20/2017,1,11018,9139,1,45708,0,0,0,0,0
1000504,2/27/2017,8,3,140,211,19844,0,0,0,0,0
1000505,12/26/2016,17,74,9179,55,0,0,0,0,0,0
1000505,1/2/2017,321,63299,86162,35,0,0,0,0,0,0
1000505,1/9/2017,11,8397,12041,292,0,0,0,0,0,0
1000505,1/16/2017,91,61129,36378,2,0,0,0,0,0,0
1000505,1/23/2017,120,1139,5165,232,0,0,0,0,0,0
1000505,1/30/2017,40,9671,69,339,0,0,0,0,0,0
1000505,2/13/2017,137,69608,38361,1,0,0,0,0,0,0
1000505,2/20/2017,2,104,9212,112,0,0,0,0,0,0
1000505,2/27/2017,26,11103,2679,10,0,0,0,0,0,0
1000506,12/26/2016,9,8405,8054,236,0,0,0,0,0,0
1000506,1/2/2017,125,69002,58537,153,0,0,0,0,0,0
1000506,1/9/2017,106,4046,12477,66,0,0,0,0,0,0
1000506,1/16/2017,5,18882,30395,120,0,0,0,0,0,0
1000506,1/23/2017,25,30706,12055,1,0,0,0,0,0,0
1000506,1/30/2017,21,15775,5504,413,0,0,0,0,0,0
1000506,2/6/2017,111,8,7154,212,0,0,0,0,0,0
1000506,2/13/2017,8,11589,23489,81,0,0,0,0,0,0
1000506,2/20/2017,191,3274,5329,256,0,0,0,0,0,0
1000507,12/26/2016,30,3517,10497,95,0,0,0,0,0,0
1000507,1/2/2017,80,109720,86258,29,0,0,0,0,0,0
1000507,1/9/2017,66,4090,19814,141,0,0,0,0,0,0
1000507,1/16/2017,104,39864,52894,49,0,0,0,0,0,0
