vehicle_id,week_start_date,total_light_rain_driving_km,total_light_freezing_rain_driving_km,total_light_snow_driving_km,total_moderate_rain_driving_km,total_moderate_freezing_rain_driving_km,total_moderate_snow_driving_km,total_heavy_rain_driving_km
1000500,12/26/2016,0,0,0,0,0,0,0
1000500,1/2/2017,0,0,0,0,0,0,0
1000500,1/9/2017,0,0,0,0,0,0,0
1000500,1/16/2017,0,0,0,0,0,0,0
1000500,1/23/2017,0,0,0,0,0,0,0
1000500,1/30/2017,0,0,0,0,0,0,0
1000500,2/6/2017,0,0,0,0,0,0,0
1000500,2/13/2017,0,0,0,0,0,0,0
1000500,2/20/2017,0,0,0,0,0,0,0
1000500,2/27/2017,0,0,0,0,0,0,0
1000501,12/26/2016,0,0,0,0,0,0,0
1000501,1/2/2017,0,0,0,0,0,0,0
1000501,1/9/2017,0,0,0,0,0,0,0
1000501,1/16/2017,0,0,0,0,0,0,0
1000501,1/23/2017,0,0,0,0,0,0,0
1000501,1/30/2017,0,0,0,0,0,0,0
1000501,2/13/2017,0,0,0,0,0,0,0
1000501,2/20/2017,0,0,0,0,0,0,0
1000501,2/27/2017,0,0,0,0,0,0,0
1000502,12/26/2016,0,0,0,0,0,0,0
1000502,1/2/2017,0,0,0,0,0,0,0
1000502,1/9/2017,0,0,0,0,0,0,0
1000502,1/16/2017,0,0,0,0,0,0,0
1000502,1/23/2017,0,0,0,0,0,0,0
1000502,1/30/2017,0,0,0,0,0,0,0
1000502,2/13/2017,0,0,0,0,0,0,0
1000502,2/20/2017,0,0,0,0,0,0,0
1000502,2/27/2017,0,0,0,0,0,0,0
1000503,12/26/2016,0,0,0,0,0,0,0
1000503,1/2/2017,0,0,0,0,0,0,0
1000503,1/9/2017,0,0,0,0,0,0,0
1000503,1/16/2017,0,0,0,0,0,0,0
1000503,1/23/2017,0,0,0,0,0,0,0
1000503,1/30/2017,0,0,0,0,0,0,0
1000503,2/6/2017,0,0,0,0,0,0,0
1000503,2/13/2017,0,0,0,0,0,0,0
1000503,2/20/2017,0,0,0,0,0,0,0
1000503,2/27/2017,0,0,0,0,0,0,0
1000504,12/26/2016,0,0,0,0,0,0,0
1000504,1/2/2017,0,0,0,0,0,0,0
1000504,1/9/2017,0,0,0,0,0,0,0
1000504,1/16/2017,0,0,0,0,0,0,0
1000504,1/23/2017,0,0,0,0,0,0,0
1000504,1/30/2017,0,0,0,0,0,0,0
1000504,2/13/2017,0,0,0,0,0,0,0
1000504,2/20/2017,0,0,0,0,0,0,0
1000504,2/27/2017,0,0,0,0,0,0,0
1000505,12/26/2016,0,0,0,0,0,0,0
1000505,1/2/2017,0,0,0,0,0,0,0
1000505,1/9/2017,0,0,0,0,0,0,0
1000505,1/16/2017,0,0,0,0,0,0,0
1000505,1/23/2017,0,0,0,0,0,0,0
1000505,1/30/2017,0,0,0,0,0,0,0
1000505,2/13/2017,0,0,0,0,0,0,0
1000505,2/20/2017,0,0,0,0,0,0,0
1000505,2/27/2017,0,0,0,0,0,0,0
1000506,12/26/2016,0,0,0,0,0,0,0
1000506,1/2/2017,0,0,0,0,0,0,0
1000506,1/9/2017,0,0,0,0,0,0,0
1000506,1/16/2017,0,0,0,0,0,0,0
1000506,1/23/2017,0,0,0,0,0,0,0
1000506,1/30/2017,0,0,0,0,0,0,0
1000506,2/6/2017,0,0,0,0,0,0,0
1000506,2/13/2017,0,0,0,0,0,0,0
1000506,2/20/2017,0,0,0,0,0,0,0
1000507,12/26/2016,0,0,0,0,0,0,0
1000507,1/2/2017,0,0,0,0,0,0,0
1000507,1/9/2017,0,0,0,0,0,0,0
1000507,1/16/2017,0,0,0,0,0,0,0
1000507,1/23/2017,0,0,0,0,0,0,0
1000507,1/30/2017,0,0,0,0,0,0,0
1000507,2/13/2017,0,0,0,0,0,0,0
1000507,2/20/2017,0,0,0,0,0,0,0
1000508,12/26/2016,0,0,0,0,0,0,0
1000508,1/2/2017,0,0,0,0,0,0,0
1000508,1/9/2017,0,0,0,0,0,0,0
1000508,1/16/2017,0,0,0,0,0,0,0
1000508,1/23/2017,0,0,0,0,0,0,0
1000508,1/30/2017,0,0,0,0,0,0,0
1000508,2/13/2017,0,0,0,0,0,0,0
1000508,2/20/2017,0,0,0,0,0,0,0
1000508,2/27/2017,0,0,0,0,0,0,0
1000509,12/26/2016,0,0,0,0,0,0,0
1000509,1/2/2017,0,0,0,0,0,0,0
1000509,1/9/2017,0,0,0,0,0,0,0
1000509,1/16/2017,0,0,0,0,0,0,0
